"Timestamp","I agree to participate in this study ","Age:","Gender:","Course/Program:","Year Level:","Experience with similar financial/management systems?","Frequency of technology/mobile app use:"," 1. I think that I would like to use this system frequently  ","2. I found the system unnecessarily complex.","3. I thought the system was easy to use.","4. I think that I would need the support of a technical person to use this system.","5. I found the various functions in this system were well integrated.","6. I thought there was too much inconsistency in this system.","7. I would imagine that most people would learn to use this system very quickly.","8. I found the system very cumbersome to use.","9. I felt very confident using the system.","10. I needed to learn a lot of things before I could get going with this system.","1. What did you like about the Church Financial Records Management System?","2. What improvements or features can you suggest?",""
"2026/04/19 12:39:54 PM GMT+8","Yes","21","Male","Bsit-3e","3rd year","Yes","Daily","5","5","5","5","5","5","5","5","5","5","All","All","5"
"2026/04/19 6:59:21 PM GMT+8","Yes","21","Male","ISM","3 ","Yes","Daily","4","5","4","4","4","4","4","4","3","3","I liked about a Church Financial Records Management System is how it brings order, transparency, and accountability","","3"
"2026/04/21 1:02:06 PM GMT+8","Yes","23","Female","BSMath","2","No","Daily","3","4","3","3","4","2","4","3","4","2","What I liked about it is that the treasurer will not get confused, and it will not be hard to manage the finances. ","I suggests that if possible, it should be available to use on mobile phone. ","3"
"2026/04/21 2:13:27 PM GMT+8","Yes","21","Male","BSMATH ","2","Yes","Daily","4","3","5","1","5","1","5","5","5","3","its easy to use","none","5"
"2026/04/21 6:53:09 PM GMT+8","Yes","24","Female","BSMATH ","2A ","Yes","Weekly","4","1","4","3","5","4","4","2","4","4","I like it because it's very friendly to use and I've got no worries na if I loss my record that I write in paper. ","Since it can't be open in a mobile phone maybe you can also make one that is very the same to be use in a mobile phone since a lot of people are not bringing a laptop in their daily transaction. ","2"
"2026/04/21 7:06:52 PM GMT+8","Yes","21","Female","BSMATHEMATICS ","2nd Year ","Yes","Daily","5","4","5","5","4","4","5","5","5","5","","","5"
"2026/04/22 3:40:59 PM GMT+8","Yes","19","Female","Bs mathematics ","2A","Yes","Daily","3","3","3","2","3","4","4","3","4","4","How smooth the system was","The design and aesthetics","3"
"2026/04/26 6:42:29 AM GMT+8","Yes","21","Male","BSIT ","3e","Yes","Weekly","5","4","5","5","5","4","5","5","5","5","Magiging madali ang pag process Ng mga nag aabot na expenses ","Very nice ","5"
"2026/04/26 5:28:30 PM GMT+8","Yes","21","Female","BSMATH","2","Yes","Daily","5","4","5","5","5","1","5","3","5","3","","","3"
"2026/05/01 8:56:46 AM GMT+8","Yes","22","Male","BET-MET-RAC 3A ","3rd year ","Yes","Weekly","5","4","5","4","5","4","5","5","5","5","I like this management system.","None","5"
"2026/05/01 4:03:13 PM GMT+8","Yes","22","Female","BSED MATH ","3A","No","Daily","4","3","3","2","3","2","4","2","3","4","its good to use in being transparency ","None ",""
"2026/05/01 4:40:17 PM GMT+8","Yes","21","Female","BSED- MATH ","3rd year","Yes","Daily","4","3","4","3","4","3","5","3","3","5","","The system can be improved by adding automatic expense tracking, budget alerts, and data visualization like charts for easier understanding. It would also be helpful to include strong security features and cloud backup to keep financial records safe and accessible anytime.",""
"2026/05/01 11:42:44 PM GMT+8","Yes","18","Female","BSEnt","1","Yes","Weekly","4","4","5","2","5","3","5","3","4","3","","",""
"2026/05/01 11:51:07 PM GMT+8","Yes","18","Female","Bsmath","1","Yes","Weekly","5","3","5","3","5","3","4","3","4","3","","",""
"2026/05/03 5:03:38 PM GMT+8","Yes","20","Male","bsmath","3rd yr","Yes","Daily","1","1","1","1","1","1","1","1","1","1","bdhshs","bshedgs",""
"2026/05/06 11:49:43 PM GMT+8","Yes","26","Male","BETMET AUTO","2","Yes","Daily","4","4","4","4","4","4","4","4","4","4","","",""
"2026/05/07 12:55:22 AM GMT+8","Yes","21","Male","bscr","3rdyear","No","Daily","3","2","3","2","3","3","3","3","3","3","","",""
"2026/05/08 3:23:13 AM GMT+8","Yes","21","Male","Bachelor of science and industrial security management ","3rd year","Yes","Daily","5","1","5","1","5","1","5","5","5","5","All goods yet depends on what they present in the society ","Non",""
"2026/05/09 8:24:17 AM GMT+8","Yes","20","Female","BSBA-FM ","3rd year ","Yes","Daily","4","2","4","2","3","4","5","2","4","2","I like that the system is very simple, user-friendly, and easy to navigate.","Maybe add report generation or backup option, but it works well already ",""
"2026/05/09 11:22:58 AM GMT+8","Yes","27","Male","BACOM ","1A","Yes","When needed ","5","5","5","1","5","5","5","1","5","1","Everything, from the design of interface to functionality of the system. ","None, everything works perfectly fine and accurate. ",""
